HT,AT,TYPE,HTPTS,HTTWOFG,HTTWOFGTOTAL,HTTHREEFG,HTTHREEFGTOTAL,HTFT,HTFTTOTAL,HTREBO,HTREBD,HTREBT,HTAS,HTST,HTTO,HTBLFV,HTBLAG,HTFOULSCM,HTFOULSRV,HTPIR,ATPTS,ATTWOFG,ATTWOFGTOTAL,ATTHREEFG,ATTHREEFGTOTAL,ATFT,ATFTTOTAL,ATREBO,ATREBD,ATREBT,ATAS,ATST,ATTO,ATBLFV,ATBLAG,ATFOULSCM,ATFOULSRV,ATPIR,HTFQ,HTSQ,HTTQ,HTFQ2,HTFO,HTSO,ATFQ,ATSQ,ATTQ,ATFQ2,ATFO,ATSO,HTFQCUM,HTSCCUM,HTTQCUM,HTFQCUM2,HTFOUM,HTSOCUM,ATFQCUM,ATSCCUM,ATTQCUM,ATFQCUM2,ATFOCUM,ATSOCUM
Lugano Snakes, Zadar,FT,75,25,47,6,16,7,13,15,21,36,3,16,17,0,0,24,20,71,74,24,44,4,13,14,22,11,21,32,4,19,14,0,0,20,24,82,21,17,16,21,,,18,19,15,22,,,21,38,54,75,,,18,37,52,74,,
PAF Bologna, Zalgiris Kaunas,FT,91,22,44,5,15,32,44,11,25,36,8,21,10,2,5,24,33,108,85,14,31,13,27,18,23,8,28,36,9,10,17,5,2,33,24,81,19,30,22,20,,,22,27,16,20,,,19,49,71,91,,,22,49,65,85,,
Adecco Estudiantes, Peristeri,FT,86,20,36,8,22,22,31,10,23,33,12,9,13,1,1,22,22,88,91,19,34,11,27,20,23,10,19,29,13,8,12,1,1,22,22,95,13,19,22,32,,,23,29,14,25,,,13,32,54,86,,,23,52,66,91,,
Region Wallone Spirou Charleroi, Saint Petersburg Lions,FT,80,27,41,6,25,8,15,5,27,32,7,7,10,1,1,25,0,51,68,20,42,3,13,19,25,7,25,32,5,2,14,1,1,21,0,34,23,25,12,20,,,19,20,15,14,,,23,48,60,80,,,19,39,54,68,,
AEK Athens, Kinder Virtus Bologna,FT,78,21,35,6,16,18,35,14,22,36,12,8,19,1,2,25,30,78,77,19,36,9,24,12,19,12,17,29,8,8,18,2,1,30,25,61,24,15,27,12,,,15,21,19,22,,,24,39,66,78,,,15,36,55,77,,
Cibona VIP, Tau Ceramica Vitoria,FT,62,16,31,4,16,18,28,7,19,26,5,11,19,3,1,23,25,52,60,19,34,2,13,16,21,5,17,22,8,8,22,1,3,25,22,40,15,13,20,14,,,18,10,17,15,,,15,28,48,62,,,18,28,45,60,,
Ovarense Aerosoles, Hapoel Jerusalem,FT,82,21,33,8,23,16,26,9,21,30,8,9,20,0,1,25,24,70,94,26,48,7,13,21,27,9,22,31,4,16,16,1,0,23,23,96,25,20,19,18,,,27,28,21,18,,,25,45,64,82,,,27,55,76,94,,
Real Madrid, Olympiakos,FT,75,30,55,1,7,12,22,13,27,40,11,10,14,3,6,25,22,75,73,17,34,7,22,18,26,6,23,29,9,12,16,6,3,22,25,73,19,18,16,22,,,23,16,16,18,,,19,37,53,75,,,23,39,55,73,,
Benetton Basket, Union Olimpija Ljubljana,FT,69,17,34,5,13,20,34,6,23,29,11,20,18,3,2,19,29,83,71,22,36,7,18,6,13,6,25,31,10,21,19,2,3,29,19,71,15,23,17,14,,,27,24,14,6,,,15,38,55,69,,,27,51,65,71,,
Haribo London Towers, Opel Skyliners,FT,86,23,51,6,18,22,29,11,30,41,11,11,12,1,0,21,0,70,61,21,41,2,12,13,17,6,34,40,12,8,21,1,0,28,0,39,21,22,16,27,,,14,19,12,16,,,21,43,59,86,,,14,33,45,61,,
Buducnost, FC Barcelona,FT,77,21,34,6,28,17,22,7,17,24,6,7,8,1,8,20,18,57,85,29,50,5,11,12,22,6,19,25,7,4,5,8,1,18,20,88,19,25,17,16,,,26,19,19,21,,,19,44,61,77,,,26,45,64,85,,
PAOK Thessaloniki, Muller Verona,OT,97,25,43,5,20,32,45,16,29,45,10,3,9,3,2,26,33,108,94,20,40,10,31,24,27,8,25,33,9,5,7,2,3,34,25,80,18,21,19,20,19,,16,23,24,15,16,,18,39,58,78,97,,16,39,63,78,94,
Peristeri, Lugano Snakes,FT,85,20,32,9,21,18,23,10,26,36,14,9,22,3,2,20,23,97,68,22,41,4,22,12,18,11,11,22,8,13,15,2,3,23,20,49,23,23,26,13,,,36,8,24,-68,,,23,46,72,85,,,36,44,68,,,
Zalgiris Kaunas, Adecco Estudiantes,FT,77,22,42,6,23,15,15,6,17,23,14,3,7,3,2,23,18,69,80,19,37,7,19,21,26,11,28,39,11,5,13,2,3,18,23,91,24,13,22,18,,,39,15,26,-80,,,24,37,59,77,,,39,54,80,,,
Zadar, PAF Bologna,OT,87,26,45,7,19,14,24,7,25,32,16,11,17,3,2,27,20,82,91,21,42,10,24,19,28,7,22,29,12,14,12,2,3,20,27,96,20,23,14,18,12,,16,26,18,15,16,,20,43,57,75,87,,16,42,60,75,91,
Tau Ceramica Vitoria Gasteiz, Region Wallone Spirou Charleroi,FT,76,22,44,7,13,11,22,8,19,27,11,18,14,3,2,22,21,79,64,17,41,4,20,18,25,20,24,44,8,8,21,2,3,21,22,56,24,17,18,17,,,36,17,11,-64,,,24,41,59,76,,,36,53,64,,,
Kinder Virtus Bologna, Cibona VIP,FT,106,32,51,6,15,24,29,13,24,37,14,18,17,2,1,28,25,123,88,28,55,3,12,23,34,17,16,33,4,19,16,1,2,25,28,83,30,36,22,18,,,44,23,21,-88,,,30,66,88,106,,,44,67,88,,,
Saint Petersburg Lions, AEK Athens,FT,69,15,38,9,18,12,20,8,24,32,7,5,15,2,0,29,22,53,90,20,40,10,17,20,30,6,25,31,9,4,12,1,0,22,29,93,12,20,11,26,,,48,18,24,-90,,,12,32,43,69,,,48,66,90,,,
Union Olimpija Ljubljana, Ovarense Aerosoles,FT,102,39,62,5,16,9,12,18,16,34,7,16,9,1,1,23,17,107,79,27,47,2,8,19,27,7,13,20,3,10,15,1,0,17,22,69,30,21,22,29,,,37,19,23,-79,,,30,51,73,102,,,37,56,79,,,
Olympiakos, Benetton Basket,FT,82,22,38,6,20,20,27,11,30,41,13,11,18,3,0,31,20,84,73,12,30,6,23,31,40,6,23,29,7,10,15,0,3,20,31,68,26,18,20,18,,,36,23,14,-73,,,26,44,64,82,,,36,59,73,,,
Hapoel Jerusalem, Real Madrid,FT,74,18,44,6,14,20,29,10,19,29,13,6,12,3,3,23,24,68,87,17,34,11,18,20,27,4,20,24,15,8,12,3,3,24,23,90,25,13,23,13,,,49,23,15,-87,,,25,38,61,74,,,49,72,87,,,
Muller Verona, Haribo London Towers,FT,102,22,38,11,21,25,27,9,30,39,15,16,10,2,0,20,25,141,76,19,35,9,25,11,16,5,20,25,3,13,16,0,3,25,20,56,23,25,25,29,,,38,17,21,-76,,,23,48,73,102,,,38,55,76,,,
FC Barcelona, PAOK Thessaloniki,FT,58,18,43,2,18,16,20,15,22,37,3,16,19,2,2,18,21,53,67,15,42,6,19,19,20,9,26,35,9,9,18,2,2,21,18,58,16,17,6,19,,,36,14,17,-67,,,16,33,39,58,,,36,50,67,,,
Opel Skyliners, Buducnost,FT,79,25,41,4,11,17,22,6,22,28,11,8,16,3,0,29,0,56,94,26,44,6,25,24,31,12,15,27,19,17,10,2,0,20,0,85,15,21,28,15,,,47,23,24,-94,,,15,36,64,79,,,47,70,94,,,
Lugano Snakes, PAF Bologna,FT,72,19,40,7,25,13,24,12,19,31,4,20,19,2,0,29,24,55,100,27,41,7,20,25,37,14,33,47,7,23,20,0,2,24,29,121,10,25,19,18,,,51,30,19,-100,,,10,35,54,72,,,51,81,100,,,
Adecco Estudiantes, Zadar,FT,93,26,46,7,17,20,24,9,26,35,14,8,9,0,0,28,22,101,81,22,43,4,16,25,32,12,19,31,13,3,9,0,0,22,28,85,27,24,18,24,,,39,23,19,-81,,,27,51,69,93,,,39,62,81,,,
Peristeri, Zalgiris Kaunas,FT,74,23,43,5,20,13,17,10,17,27,11,7,13,5,4,19,19,68,92,18,37,13,29,17,22,11,26,37,21,9,12,4,5,19,19,106,20,17,23,14,,,37,21,34,-92,,,20,37,60,74,,,37,58,92,,,
AEK Athens, Region Wallone Spirou Charleroi,FT,97,29,43,6,21,21,32,9,19,28,9,7,11,3,0,21,25,97,73,22,42,4,18,17,22,15,20,35,5,5,22,0,3,26,21,49,26,22,24,25,,,42,17,14,-73,,,26,48,72,97,,,42,59,73,,,
Cibona VIP, Saint Petersburg Lions,FT,75,22,41,5,17,16,24,10,26,36,9,8,19,1,2,22,23,70,70,26,49,2,15,12,19,10,19,29,3,16,12,2,1,23,21,62,22,11,20,22,,,39,14,17,-70,,,22,33,53,75,,,39,53,70,,,
Tau Ceramica Vitoria Gasteiz, Kinder Virtus Bologna,FT,59,19,44,4,17,9,17,13,24,37,12,12,12,1,5,26,23,55,65,11,27,8,17,19,28,5,27,32,13,9,16,5,1,23,26,76,18,15,10,16,,,30,16,19,-65,,,18,33,43,59,,,30,46,65,,,
Ovarense Aerosoles, Real Madrid,FT,73,17,40,11,22,6,8,9,23,32,6,11,18,2,0,26,17,61,80,25,42,2,15,24,33,10,26,36,8,15,14,4,0,17,26,99,15,14,17,27,,,47,17,16,-80,,,15,29,46,73,,,47,64,80,,,
Benetton Basket, Hapoel Jerusalem,FT,78,13,29,12,26,16,28,7,26,33,16,22,16,6,2,30,28,93,71,18,42,5,13,20,29,11,27,38,5,17,19,2,6,28,30,69,27,20,20,11,,,27,20,24,-71,,,27,47,67,78,,,27,47,71,,,
Union Olimpija Ljubljana, Olympiakos,FT,69,21,47,5,14,12,15,11,18,29,7,16,16,3,1,29,20,60,73,21,36,3,9,22,33,3,17,20,5,18,19,4,0,21,28,76,18,17,15,19,,,34,17,22,-73,,,18,35,50,69,,,34,51,73,,,
Haribo London Towers, Buducnost,FT,88,26,50,7,25,15,19,15,18,33,11,5,6,0,0,22,0,63,95,29,35,7,24,16,27,7,29,36,21,3,14,2,0,23,0,86,17,24,23,24,,,55,26,14,-95,,,17,41,64,88,,,55,81,95,,,
PAOK Thessaloniki, Opel Skyliners,FT,100,27,42,7,15,25,41,5,33,38,18,12,13,3,0,20,31,130,70,20,53,5,18,15,17,12,21,33,15,6,18,0,3,31,20,44,22,24,26,28,,,33,11,26,-70,,,22,46,72,100,,,33,44,70,,,
Muller Verona, FC Barcelona,FT,94,24,43,11,22,13,18,10,24,34,14,14,11,2,2,20,20,110,90,27,55,8,17,12,16,15,23,38,15,14,13,2,2,20,20,103,24,20,23,27,,,52,23,15,-90,,,24,44,67,94,,,52,75,90,,,
Lugano Snakes, Zalgiris Kaunas,FT,95,21,36,12,24,17,25,6,22,28,6,23,18,0,2,25,26,98,87,22,32,7,23,22,28,7,24,31,1,20,21,2,0,26,25,87,30,19,19,27,,,40,22,25,-87,,,30,49,68,95,,,40,62,87,,,
Zadar, Peristeri,FT,79,12,35,12,26,19,24,5,11,16,13,21,11,7,4,27,23,75,92,29,45,2,11,28,37,9,24,33,13,14,13,4,7,23,27,106,19,26,24,10,,,42,24,26,-92,,,19,45,69,79,,,42,66,92,,,
PAF Bologna, Adecco Estudiantes,FT,81,21,36,9,28,12,18,11,27,38,10,18,12,5,1,22,19,96,72,16,42,5,13,25,29,9,26,35,7,13,15,1,5,19,22,73,23,17,16,25,,,45,20,7,-72,,,23,40,56,81,,,45,65,72,,,
Region Wallone Spirou Charleroi, Kinder Virtus Bologna,FT,58,16,31,5,22,11,17,11,15,26,3,2,18,0,3,20,22,32,80,24,48,6,15,14,23,14,17,31,3,5,14,3,0,22,20,64,16,13,19,10,,,40,29,11,-80,,,16,29,48,58,,,40,69,80,,,
Saint Petersburg Lions, Tau Ceramica Vitoria,FT,79,21,37,5,13,22,23,6,24,30,17,9,22,6,0,21,23,96,81,25,51,5,14,16,23,9,13,22,13,11,10,0,0,23,21,73,24,27,15,13,,,41,17,23,-81,,,24,51,66,79,,,41,58,81,,,
AEK Athens, Cibona VIP,FT,83,24,44,5,20,20,31,11,23,34,11,9,10,1,2,26,24,78,75,23,37,2,14,23,35,5,27,32,7,4,16,2,1,24,26,67,17,25,19,22,,,32,16,27,-75,,,17,42,61,83,,,32,48,75,,,
Ovarense Aerosoles, Olympiakos,FT,53,23,40,1,12,4,5,8,19,27,10,7,24,3,2,25,13,33,100,24,40,10,20,22,33,12,22,34,5,17,8,2,3,15,23,118,11,12,13,17,,,46,29,25,-100,,,11,23,36,53,,,46,75,100,,,
Hapoel Jerusalem, Union Olimpija Ljubljana,FT,76,21,50,6,11,16,20,8,14,22,14,6,11,0,0,23,0,46,88,26,38,4,13,24,30,8,20,28,22,4,14,0,0,25,0,76,23,22,19,12,,,47,15,26,-88,,,23,45,64,76,,,47,62,88,,,
Real Madrid, Benetton Basket,FT,64,21,39,2,17,16,22,15,22,37,8,7,20,2,2,23,18,52,75,20,46,7,16,14,23,12,16,28,8,13,10,2,2,18,23,75,15,14,18,17,,,30,14,31,-75,,,15,29,47,64,,,30,44,75,,,
Haribo London Towers, FC Barcelona,FT,82,21,43,7,19,19,29,11,20,31,11,8,17,1,0,30,27,69,97,28,51,8,17,17,29,16,28,44,26,2,17,1,0,27,30,112,13,17,31,21,,,45,22,30,-97,,,13,30,61,82,,,45,67,97,,,
Opel Skyliners, Muller Verona,FT,80,22,53,6,11,18,24,9,18,27,16,7,9,3,1,24,23,80,97,25,39,10,18,17,27,6,27,33,19,5,10,1,3,23,24,111,16,16,23,25,,,50,31,16,-97,,,16,32,55,80,,,50,81,97,,,
Buducnost, PAOK Thessaloniki,FT,83,23,39,7,16,16,21,7,21,28,7,4,10,2,3,22,23,82,71,21,38,4,13,17,23,5,16,21,6,1,7,3,2,24,23,60,25,21,13,24,,,36,25,10,-71,,,25,46,59,83,,,36,61,71,,,
Adecco Estudiantes, Lugano Snakes,FT,97,25,43,7,17,26,31,14,30,44,15,13,19,5,1,23,28,126,76,16,43,8,24,20,25,16,17,33,8,11,16,1,5,28,23,55,20,24,22,31,,,39,16,21,-76,,,20,44,66,97,,,39,55,76,,,
Peristeri, PAF Bologna,FT,83,22,37,8,16,15,22,7,32,39,10,5,19,3,2,20,22,91,70,17,39,9,27,9,16,11,16,27,10,11,15,2,3,22,20,53,26,15,18,24,,,39,13,18,-70,,,26,41,59,83,,,39,52,70,,,
Zalgiris Kaunas, Zadar,FT,97,24,38,10,21,19,28,11,26,37,19,5,11,6,0,15,22,126,85,18,38,11,25,16,18,5,17,22,10,9,8,0,6,22,15,69,20,32,21,24,,,43,23,19,-85,,,20,52,73,97,,,43,66,85,,,
Cibona VIP, Region Wallone Spirou Charleroi,FT,85,29,44,1,13,24,32,11,24,35,11,16,13,1,0,18,28,110,70,22,40,5,20,11,18,10,20,30,5,6,16,0,1,28,18,44,20,23,23,19,,,41,9,20,-70,,,20,43,66,85,,,41,50,70,,,
Tau Ceramica Vitoria Gasteiz, AEK Athens,FT,85,31,55,4,10,11,16,10,32,42,15,9,10,0,3,24,21,100,65,19,44,5,17,12,22,6,21,27,4,8,10,3,0,21,24,53,23,18,23,21,,,34,17,14,-65,,,23,41,64,85,,,34,51,65,,,
Kinder Virtus Bologna, Saint Petersburg Lions,FT,84,21,38,3,14,33,40,9,25,34,8,24,22,3,1,27,29,97,78,24,40,2,15,24,31,8,23,31,4,24,22,1,3,29,27,75,25,28,15,16,,,38,27,13,-78,,,25,53,68,84,,,38,65,78,,,
Benetton Basket, Ovarense Aerosoles,FT,106,20,33,13,25,27,36,12,21,33,16,26,17,1,1,21,27,136,81,24,41,6,19,15,21,12,18,30,9,17,22,1,1,27,21,73,27,27,24,28,,,33,18,30,-81,,,27,54,78,106,,,33,51,81,,,
Union Olimpija Ljubljana, Real Madrid,FT,88,30,39,3,12,19,31,5,21,26,16,9,12,1,0,32,29,95,79,23,47,3,9,24,33,9,15,24,6,16,12,1,0,28,32,79,27,14,22,25,,,42,18,19,-79,,,27,41,63,88,,,42,60,79,,,
Olympiakos, Hapoel Jerusalem,FT,102,22,41,14,20,16,22,6,24,30,18,6,12,2,1,25,23,112,69,21,42,1,10,24,32,9,23,32,6,5,19,1,2,23,25,56,26,20,25,31,,,39,9,21,-69,,,26,46,71,102,,,39,48,69,,,
PAOK Thessaloniki, Haribo London Towers,FT,70,25,53,3,8,11,19,14,30,44,13,5,17,7,3,17,22,83,58,15,52,7,23,7,12,23,24,47,6,10,14,3,7,22,17,40,18,12,17,23,,,26,12,20,-58,,,18,30,47,70,,,26,38,58,,,
Muller Verona, Buducnost,FT,86,31,46,4,18,12,15,8,22,30,12,15,14,0,1,24,19,91,91,18,29,12,27,19,26,7,23,30,15,18,15,1,0,19,24,112,16,26,26,18,,,38,30,23,-91,,,16,42,68,86,,,38,68,91,,,
FC Barcelona, Opel Skyliners,FT,86,24,53,5,18,23,28,18,26,44,10,14,16,4,1,13,23,104,60,18,38,5,20,9,17,5,23,28,10,9,22,1,4,23,13,29,18,26,14,28,,,32,17,11,-60,,,18,44,58,86,,,32,49,60,,,
Zadar, Lugano Snakes,FT,118,34,41,9,17,23,32,3,29,32,29,25,19,8,3,23,31,174,79,21,51,6,20,19,22,7,13,20,9,21,18,3,8,31,23,51,28,29,29,32,,,37,24,18,-79,,,28,57,86,118,,,37,61,79,,,
Zalgiris Kaunas, PAF Bologna,FT,73,23,44,5,14,12,13,6,27,33,10,6,12,6,1,22,20,82,56,16,36,3,23,15,17,11,21,32,8,8,11,1,6,20,22,48,16,20,16,21,,,35,5,16,-56,,,16,36,52,73,,,35,40,56,,,
Peristeri, Adecco Estudiantes,FT,91,21,40,12,21,13,17,12,27,39,17,6,19,5,3,18,22,108,81,20,47,10,23,11,14,10,20,30,15,10,15,3,5,22,18,72,18,32,20,21,,,52,14,15,-81,,,18,50,70,91,,,52,66,81,,,
Saint Petersburg Lions, Region Wallone Spirou Charleroi,FT,83,25,43,5,13,18,24,7,19,26,16,9,16,3,1,17,20,91,77,21,42,8,22,11,14,11,22,33,8,3,16,1,3,20,17,62,18,23,23,19,,,47,8,22,-77,,,18,41,64,83,,,47,55,77,,,
Kinder Virtus Bologna, AEK Athens,FT,81,31,54,2,10,13,18,12,30,42,6,18,11,5,1,15,20,109,66,17,37,7,21,11,14,6,22,28,3,13,16,1,5,20,15,48,19,20,21,21,,,38,12,16,-66,,,19,39,60,81,,,38,50,66,,,
Tau Ceramica Vitoria Gasteiz, Cibona VIP,FT,92,26,34,8,18,16,22,6,22,28,16,12,13,3,0,22,21,113,66,24,44,1,10,15,18,8,15,23,8,9,15,0,3,21,22,57,29,18,28,17,,,35,14,17,-66,,,29,47,75,92,,,35,49,66,,,
Hapoel Jerusalem, Ovarense Aerosoles,FT,106,39,55,4,12,16,20,9,19,28,22,17,18,4,3,15,17,130,71,22,40,6,19,9,12,10,16,26,17,7,27,3,4,17,15,57,25,27,25,29,,,36,17,18,-71,,,25,52,77,106,,,36,53,71,,,
Olympiakos, Real Madrid,FT,91,22,40,10,23,17,24,13,17,30,12,8,12,5,3,22,25,96,84,17,38,12,22,14,17,12,22,34,15,5,20,3,5,25,22,79,23,23,20,25,,,40,16,28,-84,,,23,46,66,91,,,40,56,84,,,
Union Olimpija Ljubljana, Benetton Basket,FT,78,23,43,5,14,17,22,12,19,31,11,8,13,1,0,29,24,77,74,20,38,2,9,28,35,6,15,21,9,15,12,1,0,24,29,81,20,19,13,26,,,37,18,19,-74,,,20,39,52,78,,,37,55,74,,,
Opel Skyliners, Haribo London Towers,FT,79,24,46,4,19,19,27,10,22,32,15,14,9,0,2,31,24,77,76,14,43,7,13,27,39,17,25,42,10,8,15,2,0,24,31,83,14,17,27,21,,,39,17,20,-76,,,14,31,58,79,,,39,56,76,,,
FC Barcelona, Buducnost,FT,92,27,52,6,18,20,28,16,30,46,11,13,13,8,2,22,23,111,75,26,52,3,20,14,24,18,23,41,12,8,18,2,8,23,22,58,19,21,28,24,,,31,14,30,-75,,,19,40,68,92,,,31,45,75,,,
Muller Verona, PAOK Thessaloniki,FT,102,26,44,10,27,20,25,14,19,33,17,19,9,0,3,21,22,120,88,23,36,9,18,15,20,5,23,28,10,9,15,3,0,22,21,95,25,28,31,18,,,38,18,32,-88,,,25,53,84,102,,,38,56,88,,,
Lugano Snakes, Peristeri,FT,80,19,32,8,24,18,23,6,21,27,2,14,16,0,0,27,23,69,91,26,43,6,13,21,30,7,25,32,7,17,12,0,0,23,27,106,28,19,13,20,,,49,17,25,-91,,,28,47,60,80,,,49,66,91,,,
Adecco Estudiantes, Zalgiris Kaunas,OT,87,23,52,9,18,14,18,12,30,42,19,6,13,1,12,22,21,87,77,17,43,8,21,19,22,12,25,37,10,10,13,12,1,21,22,91,22,19,16,15,15,,23,16,13,20,5,,22,41,57,72,87,,23,39,52,72,77,
PAF Bologna, Zadar,FT,81,16,39,10,23,19,25,17,20,37,7,19,17,5,5,17,27,95,77,17,42,8,18,19,21,15,23,38,4,18,16,5,5,27,17,74,25,13,24,19,,,30,21,26,-77,,,25,38,62,81,,,30,51,77,,,
Region Wallone Spirou Charleroi, Tau Ceramica Vitoria,FT,71,19,39,8,20,9,13,6,16,22,8,5,16,2,0,21,17,52,74,26,45,3,10,13,21,7,22,29,8,8,13,1,2,17,21,75,16,15,18,22,,,39,18,17,-74,,,16,31,49,71,,,39,57,74,,,
Cibona VIP, Kinder Virtus Bologna,FT,69,18,47,6,20,15,22,13,18,31,10,13,9,2,6,27,23,56,74,26,45,1,8,19,26,7,29,36,11,8,15,6,2,23,25,87,15,17,12,25,,,44,16,14,-74,,,15,32,44,69,,,44,60,74,,,
AEK Athens, Saint Petersburg Lions,FT,84,29,56,4,15,14,21,13,23,36,14,15,16,3,3,26,25,87,73,22,39,2,11,23,30,10,24,34,10,6,27,3,3,25,26,64,16,19,11,38,,,38,18,17,-73,,,16,35,46,84,,,38,56,73,,,
Ovarense Aerosoles, Union Olimpija Ljubljana,FT,70,21,40,4,9,16,21,6,19,25,6,3,23,3,4,21,23,53,92,32,56,3,12,19,21,13,21,34,10,7,11,5,4,24,21,95,21,22,17,10,,,48,22,22,-92,,,21,43,60,70,,,48,70,92,,,
Benetton Basket, Olympiakos,FT,95,23,40,7,17,28,37,11,27,38,15,13,10,4,2,27,30,120,87,21,46,8,18,21,30,13,20,33,10,12,11,2,4,30,27,82,29,26,15,25,,,46,23,18,-87,,,29,55,70,95,,,46,69,87,,,
Real Madrid, Hapoel Jerusalem,FT,104,21,39,14,22,20,25,8,27,35,15,19,22,1,2,18,22,123,64,21,51,2,11,16,20,12,20,32,5,14,24,2,1,22,18,45,28,32,24,20,,,35,15,14,-64,,,28,60,84,104,,,35,50,64,,,
Haribo London Towers, Muller Verona,FT,89,22,47,9,19,18,26,11,21,32,15,8,9,0,0,28,0,64,98,23,40,7,18,31,37,8,29,37,12,2,17,1,0,23,0,76,19,22,22,26,,,45,18,35,-98,,,19,41,63,89,,,45,63,98,,,
PAOK Thessaloniki, FC Barcelona,FT,91,22,45,6,16,29,40,9,18,27,17,12,8,4,0,30,26,95,102,21,38,12,22,24,33,10,31,41,24,3,17,0,4,26,29,116,22,22,27,20,,,50,15,37,-102,,,22,44,71,91,,,50,65,102,,,
Buducnost, Opel Skyliners,FT,79,30,46,4,30,7,9,18,15,33,7,9,12,5,1,20,19,75,73,25,41,4,14,11,12,9,12,21,5,6,9,1,2,20,19,67,20,21,16,22,,,29,24,20,-73,,,20,41,57,79,,,29,53,73,,,
PAF Bologna, Lugano Snakes,FT,81,30,48,3,19,12,16,12,33,45,18,17,15,4,3,15,16,110,66,22,44,5,23,7,13,9,24,33,11,17,15,3,4,16,15,64,26,14,18,23,,,33,17,16,-66,,,26,40,58,81,,,33,50,66,,,
Zadar, Adecco Estudiantes,FT,80,23,46,5,13,19,26,8,23,31,22,17,9,5,0,20,22,110,72,17,40,9,21,11,15,9,20,29,14,14,15,0,5,22,20,68,16,27,24,13,,,39,19,14,-72,,,16,43,67,80,,,39,58,72,,,
Zalgiris Kaunas, Peristeri,FT,86,17,30,13,18,13,16,4,20,24,14,6,12,6,1,18,16,100,73,26,50,4,15,9,10,14,14,28,9,3,8,1,6,17,18,65,26,19,19,22,,,37,18,18,-73,,,26,45,64,86,,,37,55,73,,,
Region Wallone Spirou Charleroi, AEK Athens,FT,89,25,51,7,18,18,24,15,20,35,9,4,11,1,1,31,27,79,97,18,33,10,19,31,41,6,18,24,5,0,11,1,1,27,31,85,20,20,19,30,,,38,23,36,-97,,,20,40,59,89,,,38,61,97,,,
Saint Petersburg Lions, Cibona VIP,OT,92,25,43,4,26,30,35,7,32,39,23,6,12,4,2,28,30,107,90,21,52,5,27,33,40,17,24,41,12,4,10,2,4,31,28,72,25,13,28,7,19,,17,23,15,18,17,,25,38,66,73,92,,17,40,55,73,90,
Kinder Virtus Bologna, Tau Ceramica Vitoria,FT,76,21,40,3,12,25,31,9,23,32,6,17,12,3,1,25,26,88,73,16,34,7,17,20,32,10,22,32,4,14,15,1,3,26,25,65,14,24,18,20,,,38,19,16,-73,,,14,38,56,76,,,38,57,73,,,
Real Madrid, Ovarense Aerosoles,FT,116,22,37,17,28,21,30,8,25,33,19,14,11,1,1,22,26,140,94,18,36,12,25,22,28,9,23,32,18,9,16,1,1,26,22,96,23,23,41,29,,,55,15,24,-94,,,23,46,87,116,,,55,70,94,,,
Hapoel Jerusalem, Benetton Basket,FT,79,26,45,0,10,27,32,20,9,29,12,4,15,1,1,22,24,77,104,22,36,15,28,15,22,24,16,40,24,9,8,1,1,24,22,133,23,20,12,24,,,48,31,25,-104,,,23,43,55,79,,,48,79,104,,,
Olympiakos, Union Olimpija Ljubljana,FT,82,30,50,1,13,19,30,12,22,34,12,7,15,1,4,23,30,81,70,16,41,6,14,20,25,11,28,39,7,4,20,4,1,30,23,58,15,30,17,20,,,30,18,22,-70,,,15,45,62,82,,,30,48,70,,,
Buducnost, Haribo London Towers,FT,101,22,36,13,27,18,30,4,22,26,7,8,11,3,1,22,25,96,83,26,47,4,14,19,21,9,19,28,7,6,10,2,4,24,20,75,25,26,19,31,,,43,18,22,-83,,,25,51,70,101,,,43,61,83,,,
Opel Skyliners, PAOK Thessaloniki,FT,73,24,45,3,15,16,17,11,22,33,16,8,20,0,0,30,20,66,80,25,47,1,8,27,37,10,20,30,10,11,13,0,0,20,30,89,12,8,26,27,,,40,24,16,-80,,,12,20,46,73,,,40,64,80,,,
FC Barcelona, Muller Verona,FT,96,24,41,7,17,27,34,8,32,40,14,8,16,5,1,25,26,113,84,27,58,4,21,18,27,16,20,36,9,10,6,1,5,26,25,71,30,26,26,14,,,37,22,25,-84,,,30,56,82,96,,,37,59,84,,,
Zalgiris Kaunas, Lugano Snakes,FT,105,16,31,13,28,34,37,8,19,27,17,9,12,7,4,25,30,121,89,22,51,8,19,21,31,18,23,41,16,7,14,4,7,30,25,81,33,23,21,28,,,43,20,26,-89,,,33,56,77,105,,,43,63,89,,,
Peristeri, Zadar,FT,92,26,44,5,16,25,30,13,28,41,9,11,25,4,1,27,25,95,73,19,44,4,13,23,30,9,18,27,10,12,21,1,4,25,26,58,30,12,25,25,,,40,12,21,-73,,,30,42,67,92,,,40,52,73,,,
Adecco Estudiantes, PAF Bologna,FT,76,24,45,4,21,16,20,16,18,34,12,12,12,2,3,22,20,77,90,22,39,8,19,22,27,10,26,36,13,8,15,3,2,20,22,102,18,15,15,28,,,44,25,21,-90,,,18,33,48,76,,,44,69,90,,,
Kinder Virtus Bologna, Region Wallone Spirou Charleroi,FT,106,27,47,8,15,28,35,10,29,39,6,20,19,5,1,20,29,131,87,17,39,14,27,11,15,9,20,29,5,10,24,1,5,29,19,54,24,28,29,25,,,47,9,31,-87,,,24,52,81,106,,,47,56,87,,,
