HT,AT,TYPE,HTPTS,HTTWOFG,HTTWOFGTOTAL,HTTHREEFG,HTTHREEFGTOTAL,HTFT,HTFTTOTAL,HTREBO,HTREBD,HTREBT,HTAS,HTST,HTTO,HTBLFV,HTBLAG,HTFOULSCM,HTFOULSRV,HTPIR,ATPTS,ATTWOFG,ATTWOFGTOTAL,ATTHREEFG,ATTHREEFGTOTAL,ATFT,ATFTTOTAL,ATREBO,ATREBD,ATREBT,ATAS,ATST,ATTO,ATBLFV,ATBLAG,ATFOULSCM,ATFOULSRV,ATPIR,HTFQ,HTSQ,HTTQ,HTFQ2,HTFO,HTSO,ATFQ,ATSQ,ATTQ,ATFQ2,ATFO,ATSO,HTFQCUM,HTSCCUM,HTTQCUM,HTFQCUM2,HTFOUM,HTSOCUM,ATFQCUM,ATSCCUM,ATTQCUM,ATFQCUM2,ATFOCUM,ATSOCUM
KIROLBET Baskonia Vitoria Gasteiz, CSKA Moscow,FT,81,19,40,9,28,16,22,12,26,38,15,6,15,4,2,24,22,79,90,19,37,12,21,16,23,3,29,32,18,9,13,2,4,22,24,102,26,22,24,9,,,51,19,20,-90,,,26,48,72,81,,,51,70,90,,,
AX Armani Exchange Olimpia Milan, Crvena Zvezda mts Belgrade,FT,88,18,39,11,27,19,24,13,18,31,17,5,8,4,1,25,26,95,91,20,35,10,25,21,22,9,25,34,17,4,12,1,4,26,25,99,15,25,20,28,,,45,16,30,-91,,,15,40,60,88,,,45,61,91,,,
Khimki Moscow Region, FC Barcelona Lassa,FT,65,9,20,10,29,17,19,2,18,20,19,6,13,3,2,17,19,68,79,19,28,11,30,8,14,12,27,39,32,10,17,2,3,19,17,106,15,17,25,8,,,36,21,22,-79,,,15,32,57,65,,,36,57,79,,,
Panathinaikos Superfoods Athens, Anadolu Efes Istanbul,FT,90,21,36,14,26,6,7,4,16,20,23,8,10,1,3,20,11,92,79,25,42,6,19,11,19,14,23,37,13,6,15,3,1,11,20,93,23,24,23,20,,,33,23,23,-79,,,23,47,70,90,,,33,56,79,,,
Unicaja Malaga, Valencia Basket,FT,83,22,43,9,24,12,13,14,15,29,15,4,8,0,2,19,20,85,85,24,38,9,19,10,11,9,21,30,20,5,8,2,0,21,18,106,19,29,21,14,,,39,26,20,-85,,,19,48,69,83,,,39,65,85,,,
FC Barcelona Lassa, CSKA Moscow,FT,85,24,46,8,24,13,23,15,31,46,24,1,12,4,4,25,23,94,72,19,44,7,23,13,16,11,28,39,15,7,9,4,4,24,24,80,25,22,19,19,,,42,13,17,-72,,,25,47,66,85,,,42,55,72,,,
Brose Bamberg, Khimki Moscow Region,FT,70,11,34,9,23,21,26,18,27,45,15,5,20,0,4,25,26,70,74,12,29,12,30,14,20,12,22,34,16,9,12,4,0,26,25,83,26,16,16,12,,,40,16,18,-74,,,26,42,58,70,,,40,56,74,,,
Crvena Zvezda mts Belgrade, Zalgiris Kaunas,FT,77,12,34,10,29,23,26,13,24,37,15,15,11,2,3,24,23,87,65,18,32,5,18,14,19,6,28,34,13,4,19,3,2,23,24,67,16,17,15,29,,,31,14,20,-65,,,16,33,48,77,,,31,45,65,,,
Fenerbahce Dogus Istanbul, KIROLBET Baskonia Vitoria Gasteiz,FT,79,19,43,8,19,17,21,13,26,39,19,6,13,2,5,17,22,93,74,20,35,8,27,10,15,11,19,30,15,7,11,5,2,22,16,73,18,18,27,16,,,38,21,15,-74,,,18,36,63,79,,,38,59,74,,,
Olympiacos Piraeus, AX Armani Exchange Olimpia Milan,FT,87,18,35,10,24,21,27,8,32,40,23,6,12,0,0,24,23,106,80,24,44,7,24,11,19,6,25,31,14,7,8,0,0,23,24,80,26,22,22,17,,,34,19,27,-80,,,26,48,70,87,,,34,53,80,,,
Real Madrid, Maccabi FOX Tel Aviv,FT,93,22,37,12,31,13,18,14,26,40,21,7,10,7,2,22,21,116,81,21,45,9,20,12,16,10,22,32,18,6,14,2,7,21,22,80,25,23,21,24,,,50,10,21,-81,,,25,48,69,93,,,50,60,81,,,
Anadolu Efes Istanbul, Crvena Zvezda mts Belgrade,FT,104,24,40,8,17,32,36,8,19,27,21,3,8,2,4,22,30,124,95,29,50,8,22,13,19,16,17,33,15,3,7,4,2,30,22,92,22,28,27,27,,,46,25,24,-95,,,22,50,77,104,,,46,71,95,,,
AX Armani Exchange Olimpia Milan, CSKA Moscow,FT,81,18,35,8,21,21,25,11,14,25,21,3,16,3,3,25,26,81,107,33,50,6,14,23,24,10,21,31,22,8,10,3,3,27,24,129,15,21,25,20,,,50,27,30,-107,,,15,36,61,81,,,50,77,107,,,
Maccabi FOX Tel Aviv, Brose Bamberg,FT,90,20,37,8,17,26,35,7,28,35,21,6,10,7,2,20,26,118,88,15,39,13,26,19,20,9,25,34,18,6,10,2,7,26,20,87,20,19,26,25,,,41,23,24,-88,,,20,39,65,90,,,41,64,88,,,
Panathinaikos Superfoods Athens, FC Barcelona Lassa,FT,84,29,41,4,22,14,23,9,17,26,19,11,9,3,1,27,20,87,75,19,34,7,18,16,24,11,22,33,18,1,19,1,3,22,26,76,17,19,18,30,,,34,14,27,-75,,,17,36,54,84,,,34,48,75,,,
